,Title,Cast and crew,genres,overview,releasedate,duration,director_name,actor_1_name,actor_2_name,actor_3_name
150,Black Adam,"Jaume Collet-Serra (director); Adam Sztykiel, Rory Haines, Sohrab Noshirvani (screenplay); Dwayne Johnson, Aldis Hodge, Noah Centineo, Sarah Shahi, Quintessa Swindell, Marwan Kenzari, Pierce Brosnan",Action Fantasy Adventure,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",2022-10-19,,Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Noah Centineo
151,Ticket to Paradise,"Ol Parker (director); Daniel Pipski (screenplay); Julia Roberts, George Clooney, Kaitlyn Dever, Billie Lourd",Comedy Romance,Clooney and Roberts will play a divorced couple that teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,2022-09-09,,Ol Parker,Julia Roberts,George Clooney,Kaitlyn Dever
152,The Banshees of Inisherin,"Martin McDonagh (director/screenplay); Brendan Gleeson, Colin Farrell, Barry Keoghan, Kerry Condon",Drama Comedy,A pair of lifelong friends on a remote Irish island find themselves at an awkward time in their relationship when one of them no longer wants to be friends.,2022-10-21,,Martin McDonagh,Brendan Gleeson,Colin Farrell,Barry Keoghan
153,The Devil's Light,"Daniel Stamm (director); Robert Zappia (screenplay); Jacqueline Byers, Virginia Madsen, Ben Cross, Colin Salmon",Horror Thriller,"Sister Ann is a restless 25-year-old who devoutly believes that performing exorcisms is her calling. But she is at odds with the institution's traditions: nuns are not allowed to perform exorcisms, only priests. With the support of a mentor, a professor who senses her special gift, she is allowed to observe actual training sessions. Her desire to prove herself takes a personal turn when she meets one of the school's most disturbed patients. During their harrowing encounters, Sister Ann comes face to face with a demonic force that infests the school and has mysterious ties to her own past. It is then that the power of evil and her own startling abilities are fully realized.",2022-05-19,93.0,Daniel Stamm,Jacqueline Byers,Virginia Madsen,Ben Cross
154,Canterbury Glass,"David O. Russell (director/screenplay); Christian Bale, Margot Robbie, John David Washington, Anya Taylor-Joy, Rami Malek, Zoe Saldana, Chris Rock, Timothy Olyphant, Michael Shannon, Andrea Riseborough, Matthias Schoenaerts, Alessandro Nivola, Taylor Swift, Mike Myers, Robert De Niro",Drama,"In the 1930s, three friends witness a murder, become suspects themselves, and uncover one of the most outrageous plots in American history.",2022-11-04,,David O. Russell,Christian Bale,Margot Robbie,John David Washington
155,Black Panther: Wakanda Forever,"Ryan Coogler (director/screenplay); Joe Robert Cole (screenplay); Lupita Nyong'o, Letitia Wright, Danai Gurira, Daniel Kaluuya, Winston Duke, Dominique Thorne, Michaela Coel, Martin Freeman, Angela Bassett",Action Adventure Science Fiction,The sequel to Black Panther (2018).,2022-11-09,,Ryan Coogler,Lupita Nyong'o,Letitia Wright,Danai Gurira
156,Spellbound,"Vicky Jenson (director), Lauren Hynek, Elizabeth Martin, Linda Woolverton (screenplay); Rachel Zegler",Mystery Thriller Romance,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",1945-11-08,111.0,Vicky Jenson,Rachel Zegler,,
157,The Menu,"Mark Mylod (director); Seth Reiss, Will Tracy (screenplay); Anya Taylor-Joy, Nicholas Hoult, Ralph Fiennes, Hong Chau, John Leguizamo, Janet McTeer, Judith Light",Horror Comedy,A young couple visiting an exclusive restaurant on a remote island discover a dark truth behind it’s eccentric chef — and menu,2022-11-18,,Mark Mylod,Anya Taylor-Joy,Nicholas Hoult,Ralph Fiennes
158,She Said,"Maria Schrader (director); Rebecca Lenkiewicz (screenplay); Zoe Kazan, Carey Mulligan, Patricia Clarkson, Andre Braugher, Samantha Morton",Comedy Crime Drama Mystery,"Miss Marple believes she's seen a murder in a passing-by train, yet when the police find no evidence she decides to investigate it on her own.",1961-09-26,87.0,Maria Schrader,Zoe Kazan,Carey Mulligan,Patricia Clarkson
159,Thirteen Lives,"Ron Howard (director); William Nicholson (screenplay); Viggo Mortensen, Colin Farrell, Joel Edgerton",Drama,A dramatization of the rescue of a boys soccer team from an underground cave in Thailand.,2022-11-16,,Ron Howard,Viggo Mortensen,Colin Farrell,Joel Edgerton
