,Title,Cast and crew,genres,overview,releasedate,duration,director_name,actor_1_name,actor_2_name,actor_3_name
22,Marry Me,"Kat Coiro (director); John Rogers, Tami Sagher, Harper Dill (screenplay); Jennifer Lopez, Owen Wilson, Maluma, John Bradley, Chloe Coleman, Sarah Silverman",Romance Comedy Music,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",2022-02-09,112.0,Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma
23,Blacklight,"Mark Williams (director/screenplay); Nick May (screenplay); Liam Neeson, Emmy Raver-Lampman, Taylor John Smith, Aidan Quinn",Action Thriller,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,2022-02-10,104.0,Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith
24,I Want You Back,"Jason Orley (director); Isaac Aptaker, Elizabeth Berger (screenplay); Charlie Day, Jenny Slate, Scott Eastwood, Manny Jacinto, Gina Rodriguez",Comedy Romance,"Peter and Emma thought they were on the precipice of life’s biggest moments – marriage, kids, and houses in the suburbs – until their respective partners dumped them. Horrified to learn that the loves of their lives have already moved on, Peter and Emma hatch a hilarious plan to win back their exes with unexpected results.",2022-02-10,117.0,Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood
25,Tall Girl 2,"Emily Ting (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Sabrina Carpenter, Anjelika Washington, Angela Kinsey, Steve Zahn",Comedy Drama Romance,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to ""stand tall"".",2022-02-11,97.0,Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter
26,The Sky Is Everywhere,"Josephine Decker (director); Jandy Nelson (screenplay); Grace Kaufman, Pico Alexander, Jacques Colimon, Cherry Jones, Jason Segel",Drama Romance Music,"Lennie is a teen musical prodigy grieving the death of her sister when she finds herself caught between a new guy at school and her sister's devastated boyfriend. Through her vivid imagination and conflicted heart, Lennie navigates first love and first loss.",2022-02-11,103.0,Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon
27,The In Between,"Arie Posin (director); Marc Klein (screenplay); Joey King, Kyle Allen, Kim Dickens, John Ortiz",Romance Science Fiction Drama,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",2022-02-11,116.0,Arie Posin,Joey King,Kyle Allen,Kim Dickens
28,Fistful of Vengeance,"Roel Reiné (director); Cameron Litvack, Jessica Chou, Yalun Tu (screenplay); Iko Uwais, Lewis Tan, Lawrence Kao, JuJu Chan, Pearl Thusi, Jason Tobin",Action Crime Fantasy,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,2022-02-17,94.0,Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao
29,Uncharted,"Ruben Fleischer (director); Rafe Judkins, Art Marcum, Matt Holloway (screenplay); Tom Holland, Mark Wahlberg, Sophia Ali, Tati Gabrielle, Antonio Banderas",Action Adventure,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",2022-02-10,116.0,Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali
30,Dog,"Reid Carolin, Channing Tatum (directors); Reid Carolin (screenplay); Channing Tatum, Jane Adams, Kevin Nash, Q'orianka Kilcher, Ethan Suplee, Emmy Raver-Lampman, Nicole LaLiberte",Drama Comedy,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,2022-02-17,102.0,"Reid Carolin, Channing Tatum",Channing Tatum,Jane Adams,Kevin Nash
31,Texas Chainsaw Massacre,"David Blue Garcia (director); Chris Thomas Devlin (screenplay); Sarah Yarkin, Elsie Fisher, Mark Burham, Moe Dunford, Nell Hudson, Jessica Allian, Olwen Fouéré, Jacob Latimore, Alice Krige",Horror Thriller,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin.",2022-02-18,83.0,David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham
32,The Cursed,"Sean Ellis (director/screenplay); Boyd Holbrook, Kelly Reilly, Alistair Petrie",Horror Fantasy Mystery,"In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.",2021-07-28,111.0,Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie
33,A Fairy Tale After All,"Erik Peter Carlson (director/screenplay); Emily Shenaut, Brian Hull, Gabriel Burrafato, Bridget Winder, Timothy N. Kopacz, Anna Brisbin",Fantasy Family,A stubborn teenage girl finds herself confronted by whimsical characters when she is transported into a world of fantasy and fairy tales while attending a school marionette show.,2022-02-18,72.0,Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato
34,Cyrano,"Joe Wright (director); Erica Schmidt (screenplay); Peter Dinklage, Haley Bennett, Kelvin Harrison Jr., Ben Mendelsohn",Drama Romance,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",2022-01-06,124.0,Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.
35,Studio 666,"BJ McDonell (director); Jeff Buhler, Rebecca Hughes (screenplay); Dave Grohl, Taylor Hawkins, Nate Mendel, Pat Smear, Chris Shiflett, Rami Jaffe, Whitney Cummings, Leslie Grossman, Will Forte, Jenna Ortega, Jeff Garlin",Comedy Horror Music,"Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.",2022-02-24,106.0,BJ McDonell,Dave Grohl,Taylor Hawkins,Nate Mendel
36,A Madea Homecoming,"Tyler Perry (director/screenplay); Tyler Perry, Cassi Davis, David Mann, Tamela Mann, Gabrielle Dennis, Brendan O'Carroll",Comedy,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,2022-02-25,105.0,Tyler Perry,Tyler Perry,Cassi Davis,David Mann
37,No Exit,"Damien Power (director); Andrew Barrer, Gabriel Ferrari (screenplay); Havana Rose Liu, Danny Ramirez, Dennis Haysbert",Horror Thriller,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,96.0,Damien Power,Havana Rose Liu,Danny Ramirez,Dennis Haysbert
38,Gasoline Alley,"Edward John Drake (director); Tom Sierchio (screenplay); Bruce Willis, Luke Wilson, Devon Sawa",Thriller Crime Mystery,"A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined.",2022-02-25,97.0,Edward John Drake,Bruce Willis,Luke Wilson,Devon Sawa
39,The Batman,"Matt Reeves (director/screenplay); Peter Craig (screenplay); Robert Pattinson, Zoë Kravitz, Paul Dano, Jeffrey Wright, John Turturro, Peter Sarsgaard, Barry Keoghan, Andy Serkis, Colin Farrell",Crime Mystery Thriller,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022-03-01,176.0,Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano
40,After Yang,"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr.",Drama Science Fiction,"When his young daughter's beloved companion — an android named Yang — malfunctions, Jake searches for a way to repair him. In the process, Jake discovers the life that has been passing in front of him, reconnecting with his wife and daughter across a distance he didn't know was there.",2022-03-04,96.0,"Kogonada (writer/director); Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson, Ritchie Coster, Sarita Choudhury, Clifton Collins Jr.",Kogonada (writer/director); Colin Farrell,Jodie Turner-Smith,Justin H. Min
41,Fresh,"Mimi Cave (director); Lauryn Kahn (screenplay); Daisy Edgar-Jones, Sebastian Stan, Jonica T. Gibbs, Charlotte Le Bon, Andrea Bang, Dayo Okeniyi",Thriller Horror Romance,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",2022-03-03,114.0,Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs
42,A Day to Die,"Wes Miller (director); Rab Berry, Scott Mallace (screenplay); Kevin Dillon, Bruce Willis, Frank Grillo",Action Thriller Crime,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.",2022-03-04,101.0,Wes Miller,Kevin Dillon,Bruce Willis,Frank Grillo
43,The Adam Project,"Shawn Levy (director); Jonathan Tropper, T.S. Nowlin, Jennifer Flackett, Mark Levin (screenplay); Ryan Reynolds, Mark Ruffalo, Jennifer Garner, Walker Scobell, Catherine Keener, Zoe Saldana",Action Adventure Comedy Science Fiction,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",2022-03-11,106.0,Shawn Levy,Ryan Reynolds,Mark Ruffalo,Jennifer Garner
44,Turning Red,"Domee Shi (director/screenplay); Julia Cho (screenplay); Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park, Maitreyi Ramakrishnan, Orion Lee, Wai Ching Ho, Tristan Allerick Chen, James Hong",Animation Family Comedy Fantasy,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022-03-10,100.0,Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse
45,Tyson's Run,"Kim Bass (director/screenplay); Rory Cochrane, Amy Smart, Major Dodson, Barkhad Abdi",Drama,An unathletic boy with autism strives to become an unlikely marathon champion giving his unfulfilled father purpose and a second chance at putting his family first.,2022-03-04,,Kim Bass,Rory Cochrane,Amy Smart,Major Dodson
46,Rescued by Ruby,"Katt Shea (director); Karen Kanszen (screenplay); Grant Gustin, Scott Wolf, Kaylah Zander",Family Drama,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby. Based on a true story.",2022-03-17,93.0,Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander
47,Deep Water,"Adrian Lyne (director); Zach Helm, Sam Levinson (screenplay); Ben Affleck, Ana de Armas, Tracy Letts, Lil Rel Howery, Dash Mihok, Finn Wittrock, Kristen Connolly, Jacob Elordi",Drama Mystery Thriller,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",2022-03-18,116.0,Adrian Lyne,Ben Affleck,Ana de Armas,Tracy Letts
48,Cheaper by the Dozen,"Gail Lerner (director); Kenya Barris, Jenifer Rice-Genzuk Henry (screenplay); Gabrielle Union, Zach Braff, Erika Christensen",Family Comedy,"This remake of the beloved classic follows the raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business.",2022-03-18,107.0,Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen
49,The Outfit,"Graham Moore (director/screenplay); Johnathan McClain (screenplay); Mark Rylance, Zoey Deutch, Johnny Flynn, Dylan O'Brien, Nikki Amuka-Bird, Simon Russell Beale",Drama Thriller Crime,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",2022-02-25,105.0,Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn
50,Windfall,"Charlie McDowell (director); Justin Lader, Andrew Kevin Walker (screenplay); Lily Collins, Jesse Plemons, Jason Segel",Crime Drama Thriller,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.",2022-03-11,92.0,Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel
51,X,"Ti West (director/screenplay); Mia Goth, Jenna Ortega, Martin Henderson, Brittany Snow, Owen Campbell, Stephen Ure, Scott Mescudi",Horror Mystery Thriller,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",2022-03-17,106.0,Ti West,Mia Goth,Jenna Ortega,Martin Henderson
52,Umma,"Iris K. Shim (director/screenplay); Sandra Oh, Fivel Stewart, MeeWha Alana Lee, Tom Yi, Odeya Rush, Dermot Mulroney",Horror Mystery,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",2022-03-18,83.0,Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee
53,Alice,"Krystin Ver Linden (director/screenplay); Keke Palmer, Common, Gaius Charles, Jonny Lee Miller",Family Fantasy Adventure,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,108.0,Krystin Ver Linden,Keke Palmer,Common,Gaius Charles
54,Master,"Mariama Diallo (director/screenplay); Regina Hall, Zoe Renee, Amber Gray",Horror Thriller Drama Mystery,"At an elite New England university built on the site of a Salem-era gallows hill, two black women strive to find their place. Navigating politics and privilege, they encounter increasingly terrifying manifestations of the school's haunted past… and present.",2022-03-18,98.0,Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray
55,Measure of Revenge,"Peyfa (director); Kenny Walakandou (screenplay); Bella Thorne, Melissa Leo, Roma Maffia, Jake Weary, Adrian Martinez",Mystery Thriller Crime,"Theater actress Lillian Cooper's son dies mysteriously. When the investigating officer rules the cause of death an accidental overdose, Lillian conducts her own investigation which leads her to an unlikely alliance with her son's former drug dealer. On her quest for answers, Lillian hallucinates some of the iconic characters she's played on stage which serve as her inner voice, urging her to avenge her son's death.",2022-03-18,92.0,Peyfa,Bella Thorne,Melissa Leo,Roma Maffia
56,The Lost City,"Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt",Action Adventure Comedy Romance,"Follows a reclusive romance novelist who was sure nothing could be worse than getting stuck on a book tour with her cover model, until a kidnapping attempt sweeps them both into a cutthroat jungle adventure, proving life can be so much stranger, and more romantic, than any of her paperback fictions.",2022-03-24,112.0,"Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt",Sandra Bullock,Channing Tatum,Daniel Radcliffe
57,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis",Action Science Fiction Comedy,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022-03-24,139.0,"Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis",Michelle Yeoh,Stephanie Hsu,Ke Huy Quan
58,Infinite Storm,"Małgorzata Szumowska, Michał Englert (directors); Josh Rollins (screenplay); Naomi Watts, Billy Howle, Sophie Okonedo, Denis O'Hare, Parker Sawyers",Drama Thriller,One woman's journey for self-discovery and turns into a harrowing tale of survival.,2022-03-25,97.0,"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Sophie Okonedo
59,7 Days,"Roshan Sethi (director/screenplay); Karan Soni (screenplay); Karan Soni, Geraldine Viswanathan, Mark Duplass",Thriller Drama Crime,"In 1976, four hijackers take over an Air France airplane en route from Tel Aviv to Paris and force it to land in Entebbe, Uganda. With 248 passengers on board, one of the most daring rescue missions ever is set in motion.",2018-03-15,107.0,Roshan Sethi,Karan Soni,Geraldine Viswanathan,Mark Duplass
60,Moonshot,"Chris Winterbauer (director); Max Taxe (screenplay); Cole Sprouse, Lana Condor, Mason Gooding, Emily Rudd, Zach Braff",Comedy Romance Science Fiction,"In a future where Mars is terraformed and colonized by the best humanity has to offer, two very different college students wind up joining forces and sneak onboard a space shuttle to the red planet in order to be united with their significant others.",2022-05-05,104.0,Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding
61,Morbius,"Daniel Espinosa (director); Matt Sazama, Burk Sharpless (screenplay); Jared Leto, Matt Smith, Adria Arjona, Jared Harris, Al Madrigal, Tyrese Gibson",Action Science Fiction Fantasy,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",2022-03-30,104.0,Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona
62,The Bubble,"Judd Apatow (director/screenplay); Pam Brady (screenplay); Karen Gillan, Iris Apatow, Fred Armisen, Maria Bakalova, David Duchovny, Keegan-Michael Key, Leslie Mann, Kate McKinnon, Pedro Pascal, Peter Serafinowicz",Comedy,Sneaking out. Hooking up. Melting down. The cast and crew of a blockbuster action franchise attempt to shoot a sequel while quarantining at a posh hotel.,2022-03-25,126.0,Judd Apatow,Karen Gillan,Iris Apatow,Fred Armisen
63,The Contractor,"Tarik Saleh (director); J. P. Davis (screenplay); Chris Pine, Ben Foster, Gillian Jacobs, Eddie Marsan, J. D. Pardo, Florian Munteanu, Kiefer Sutherland",Action Thriller,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.",2022-03-10,103.0,Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs
64,Better Nate Than Ever,"Tim Federle (director, screenplay); Rueby Wood, Joshua Bassett, Aria Brooks, Lisa Kudrow, Norbert Leo Butz",Music Family Comedy,"13-year-old Nate Foster has big Broadway dreams but there’s only one problem — he can’t even land a part in the school play. When his parents leave town, Nate and his best friend Libby sneak off to the Big Apple for a once-in-a-lifetime opportunity to prove everyone wrong. A chance encounter with Nate’s long-lost Aunt Heidi turns his journey upside-down, and together they must learn that life’s greatest adventures are only as big as your dreams.",2022-03-15,92.0,"Tim Federle (director, screenplay); Rueby Wood, Joshua Bassett, Aria Brooks, Lisa Kudrow, Norbert Leo Butz",Rueby Wood,Joshua Bassett,Aria Brooks
65,Apollo 10 1⁄2: A Space Age Childhood,"Richard Linklater (director/screenplay); Glen Powell, Zachary Levi, Milo Coy, Jack Black",Animation Comedy Science Fiction Adventure,"A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.",2022-03-24,98.0,Richard Linklater,Glen Powell,Zachary Levi,Milo Coy
66,Sonic the Hedgehog 2,"Jeff Fowler (director); Patrick Casey, Josh Miller, John Whittington (screenplay); James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Shemar Moore, Colleen O'Shaughnessey, Lee Majdoub, Idris Elba, Jim Carrey",Action Science Fiction Comedy Family,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022-03-30,122.0,Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter
67,Ambulance,"Michael Bay (director); Chris Fedak (screenplay); Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",Action Crime Thriller,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",2022-03-16,136.0,Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González
68,All the Old Knives,"Janus Metz Pedersen (director); Olen Steinhauer (screenplay); Chris Pine, Thandiwe Newton, Laurence Fishburne, Jonathan Pryce",Thriller Action,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",2022-04-08,102.0,Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne
69,Metal Lords,"Peter Sollett (director); D.B. Weiss (screenplay); Jaeden Martell, Isis Hainsworth, Adrian Greensmith, Brett Gelman, Joe Manganiello",Comedy Drama Music,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",2022-04-08,97.0,Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith
70,Father Stu,"Rosalind Ross (director/screenplay); Mark Wahlberg, Mel Gibson, Jacki Weaver, Teresa Ruiz",Drama,"The true-life story of boxer-turned-priest, Father Stuart Long, whose journey from self-destruction to redemption inspired countless people along the way.",2022-04-13,124.0,Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver
71,Fantastic Beasts: The Secrets of Dumbledore,"David Yates (director); J. K. Rowling, Steve Kloves (screenplay); Eddie Redmayne, Jude Law, Ezra Miller, Dan Fogler, Alison Sudol, Callum Turner, Jessica Williams, Katherine Waterston, Mads Mikkelsen",Fantasy Adventure,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",2022-04-06,142.0,David Yates,Eddie Redmayne,Jude Law,Ezra Miller
72,Dual,"Riley Stearns (director/screenplay); Karen Gillan, Beulah Koale, Theo James, Aaron Paul",Science Fiction Comedy Thriller,"A terminally ill woman opts for a cloning procedure to ease her loss on her friends and family. When she makes a miraculous recovery, her attempts to have her clone decommissioned fail and lead to a court-mandated duel to the death.",2022-03-18,95.0,Riley Stearns,Karen Gillan,Beulah Koale,Theo James
73,Choose or Die,"Toby Meakins (director); Simon Allen (screenplay); Asa Butterfield, Iola Evans, Eddie Marsan, Robert Englund",Horror Thriller Drama,"In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she’s no longer playing for the money but for her life.",2022-04-15,85.0,Toby Meakins,Asa Butterfield,Iola Evans,Eddie Marsan
74,The Bad Guys,"Pierre Perifel (director); Etan Cohen (screenplay); Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina, Richard Ayoade, Zazie Beetz, Lilly Singh, Alex Borstein",Animation Comedy Action Family Crime,"When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",2022-03-17,100.0,Pierre Perifel,Sam Rockwell,Marc Maron,Craig Robinson
75,The Unbearable Weight of Massive Talent,"Tom Gormican (director/screenplay); Kevin Etten (screenplay); Nicolas Cage, Pedro Pascal, Sharon Horgan, Ike Barinholtz, Alessandra Mastronardi, Jacob Scipio, Neil Patrick Harris, Tiffany Haddish",Action Comedy Crime,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",2022-04-20,107.0,Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan
76,The Northman,"Robert Eggers (director/screenplay); Sjón (screenplay); Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, Willem Dafoe",Action Adventure Drama,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",2022-04-07,137.0,Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang
77,Polar Bear,Alastair Fothergill (director); Jeff Wilson (co-director); Catherine Keener,Documentary,Tells the story of a new mother whose memories of her own youth prepare her to navigate motherhood in the increasingly challenging world that polar bears face today.,2022-04-22,84.0,Alastair Fothergill,Alastair Fothergill (director); Jeff Wilson (co-director); Catherine Keener,,
78,The Survivor,"Barry Levinson (director); Justine Juel Gillmer (screenplay); Ben Foster, Vicky Krieps, Billy Magnussen, Peter Sarsgaard, John Leguizamo, Danny DeVito",Drama History,"Harry Haft is a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.",2021-11-04,129.0,Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen
79,Memory,"Martin Campbell (director); Dario Scardapane (screenplay); Liam Neeson, Guy Pearce, Monica Bellucci, Harold Torres, Taj Atwal, Ray Fearon",Mystery Thriller Action Crime,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",2022-04-28,114.0,Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci
80,Green Ghost and the Masters of the Stone,"Michael D. Olmos (director/screenplay); Charlie Clark, Brian Douglas (screenplay); Charlie Clark, Kuno Becker, Marko Zaror, Renée Victor, Danny Trejo",Action Fantasy Comedy,"In a Texas border town, car salesman Charlie moonlights as a masked Lucha libre wrestler going by the name “Green Ghost.” When unknown assailants arrive seeking an otherworldly emerald, Charlie discovers that he has super powers. As he learns to fight from the unconventional Master Gin, Charlie is told that he’s part of a secret warrior “triad of light” with his childhood friend Marco and Marco’s sister Karina led by La Nana. Together, they’ve been chosen to protect humanity from Drake, the embodiment of the Mayan apocalypse.",2022-04-29,,Michael D. Olmos,Charlie Clark,Kuno Becker,Marko Zaror
81,Doctor Strange in the Multiverse of Madness,"Sam Raimi (director); Michael Waldron (screenplay); Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez, Michael Stuhlbarg, Rachel McAdams",Fantasy Action Adventure,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",2022-05-04,126.0,Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor
82,Marmaduke,"Mark A.Z. Dippé (director); Byron Kavanagh (screenplay); Pete Davidson, J. K. Simmons, David Koechner",Family Comedy,"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style.",2010-06-04,87.0,Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner
